TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,F,H,no,no,no,A2
2,F,F,yes,yes,no,A1
3,H,F,no,no,yes,B2
4,H,F,no,no,yes,B2
5,F,H,no,no,no,A2
6,F,F,yes,yes,no,A1
7,H,F,no,no,yes,B2
8,H,F,no,no,yes,B2
9,F,H,no,no,no,A2
10,F,F,yes,yes,no,A1
11,H,F,no,no,yes,B2
12,H,F,no,no,yes,B2
13,S,H,no,no,no,A2
14,H,H,yes,yes,yes,B1
15,H,H,yes,yes,yes,B1
16,F,F,yes,yes,no,A1
17,F,H,no,no,no,A2
18,H,H,yes,yes,yes,B1
19,H,H,yes,yes,yes,B1
20,S,S,yes,yes,no,A1
21,H,F,no,no,yes,B2
22,H,F,no,no,yes,B2
23,F,H,no,no,no,A2
24,F,F,yes,yes,no,A1
25,F,F,yes,yes,no,A1
26,H,F,no,no,yes,B2
27,H,H,yes,yes,yes,B1
28,H,H,yes,yes,yes,B1
29,F,F,yes,yes,no,A1
30,F,H,no,no,no,A2
31,H,H,yes,yes,yes,B1
32,H,H,yes,yes,yes,B1
33,F,F,yes,yes,no,A1
34,F,H,no,no,no,A2
35,H,H,yes,yes,yes,B1
36,H,H,yes,yes,yes,B1
37,F,F,yes,yes,no,A1
38,F,H,no,no,no,A2
39,H,H,yes,yes,yes,B1
40,H,H,yes,yes,yes,B1
41,F,F,yes,yes,no,A1
42,F,H,no,no,no,A2
43,H,H,yes,yes,yes,B1
44,H,H,yes,yes,yes,B1
45,H,S,no,no,yes,B2
46,F,H,no,no,no,A2
47,F,F,yes,yes,no,A1
48,F,F,yes,yes,no,A1
49,H,F,no,no,yes,B2
50,F,H,no,no,no,A2
51,F,F,yes,yes,no,A1
52,H,F,no,no,yes,B2
53,H,F,no,no,yes,B2
54,F,H,no,no,no,A2
55,C,C,yes,yes,no,A1
56,H,F,no,no,yes,B2
57,H,C,no,no,yes,B2
58,F,H,no,no,no,A2
59,C,C,yes,yes,no,A1
60,H,C,no,no,yes,B2
61,H,C,no,no,yes,B2
62,C,H,no,no,no,A2
63,C,C,yes,yes,no,A1
64,H,C,no,no,yes,B2
65,H,C,no,no,yes,B2
66,S,H,no,no,no,A2
67,H,H,yes,yes,yes,B1
68,H,H,yes,yes,yes,B1
69,C,C,yes,yes,no,A1
70,C,H,no,no,no,A2
71,H,C,no,no,yes,B2
72,H,C,no,no,yes,B2
73,C,C,yes,yes,no,A1
74,C,H,no,no,no,A2
75,H,H,yes,yes,yes,B1
76,H,H,yes,yes,yes,B1
77,C,C,yes,yes,no,A1
78,C,H,no,no,no,A2
79,H,H,yes,yes,yes,B1
80,H,H,yes,yes,yes,B1
81,H,S,no,no,yes,B2
82,S,H,no,no,no,A2
83,H,H,yes,yes,yes,B1
84,H,H,yes,yes,yes,B1
85,C,C,yes,yes,no,A1
86,C,H,no,no,no,A2
87,H,C,no,no,yes,B2
88,H,C,no,no,yes,B2
89,C,C,yes,yes,no,A1
90,C,H,no,no,no,A2
91,H,H,yes,yes,yes,B1
92,H,H,yes,yes,yes,B1
93,C,C,yes,yes,no,A1
94,C,H,no,no,no,A2
95,H,C,no,no,yes,B2
96,H,C,no,no,yes,B2
97,C,C,yes,yes,no,A1
98,C,H,no,no,no,A2
99,H,H,yes,yes,yes,B1
100,H,H,yes,yes,yes,B1
101,C,C,yes,yes,no,A1
102,C,H,no,no,no,A2
103,H,C,no,no,yes,B2
104,H,C,no,no,yes,B2
105,C,C,yes,yes,no,A1
106,C,H,no,no,no,A2
107,H,H,yes,yes,yes,B1
108,H,H,yes,yes,yes,B1
109,C,C,yes,yes,no,A1
110,C,H,no,no,no,A2
111,H,S,no,no,yes,B2
112,H,S,no,no,yes,B2
113,C,C,yes,yes,no,A1
114,C,H,no,no,no,A2
115,H,S,no,no,yes,B2
116,H,S,no,no,yes,B2
117,S,S,yes,yes,no,A1
118,C,H,no,no,no,A2
119,H,H,yes,yes,yes,B1
120,H,H,yes,yes,yes,B1
121,S,S,yes,yes,no,A1
122,S,H,no,no,no,A2
123,H,H,yes,yes,yes,B1
124,H,H,yes,yes,yes,B1
125,S,S,yes,yes,no,A1
126,S,H,no,no,no,A2
127,H,S,no,no,yes,B2
128,S,S,yes,yes,no,A1
129,S,H,no,no,no,A2
130,H,H,yes,yes,yes,B1
131,H,H,yes,yes,yes,B1
132,S,S,yes,yes,no,A1
133,S,H,no,no,no,A2
134,S,S,yes,yes,no,A1
135,H,S,no,no,yes,B2
136,H,S,no,no,yes,B2
137,S,H,no,no,no,A2
138,H,H,yes,yes,yes,B1
139,H,H,yes,yes,yes,B1
140,S,S,yes,yes,no,A1
141,S,H,no,no,no,A2
142,H,S,no,no,yes,B2
143,S,S,yes,yes,no,A1
144,S,H,no,no,no,A2
145,H,S,no,no,yes,B2
146,H,S,no,no,yes,B2
147,S,S,yes,yes,no,A1
148,S,H,no,no,no,A2
149,H,S,no,no,yes,B2
150,H,S,no,no,yes,B2
151,S,S,yes,yes,no,A1
152,S,H,no,no,no,A2
153,H,H,yes,yes,yes,B1
154,H,H,yes,yes,yes,B1
155,S,S,yes,yes,no,A1
156,S,H,no,no,no,A2
157,H,H,yes,yes,yes,B1
158,H,H,yes,yes,yes,B1
159,S,S,yes,yes,no,A1
160,S,H,no,no,no,A2
