TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,H,H,yes,no,no,A2
2,C,S,no,yes,no,A1
3,S,F,no,yes,no,A1
4,S,S,yes,yes,yes,B1
5,S,H,no,no,yes,B2
6,S,C,no,no,yes,B2
7,C,H,no,yes,no,A1
8,H,H,yes,no,no,A2
9,H,H,yes,yes,yes,B1
10,F,S,no,yes,no,A1
11,H,C,no,yes,no,A1
12,H,F,no,no,yes,B2
13,F,F,yes,no,no,A2
14,F,F,yes,yes,yes,B1
15,F,F,yes,yes,yes,B1
16,F,C,no,no,yes,B2
17,C,C,yes,no,no,A2
18,C,C,yes,yes,yes,B1
19,C,S,no,no,yes,B2
20,S,S,yes,no,no,A2
