TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,F,F,yes,yes,no,A1
2,H,F,no,no,yes,B2
3,H,H,yes,yes,yes,B1
4,H,H,yes,yes,yes,B1
5,F,F,yes,yes,no,A1
6,F,H,no,no,no,A2
7,C,H,no,no,no,A2
8,H,H,yes,yes,yes,B1
9,H,C,no,no,yes,B2
10,H,C,no,no,yes,B2
11,C,H,no,no,no,A2
12,C,C,yes,yes,no,A1
13,H,H,yes,yes,yes,B1
14,S,H,no,no,no,A2
15,H,H,yes,yes,yes,B1
16,S,S,yes,yes,no,A1
17,H,S,no,no,yes,B2
18,H,S,no,no,yes,B2
19,S,H,no,no,no,A2
20,S,S,yes,yes,no,A1
