TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,S,S,yes,yes,yes,B1
2,S,S,yes,yes,yes,B1
3,S,F,no,no,yes,B2
4,F,F,yes,no,no,A2
5,F,F,yes,yes,yes,B1
6,F,H,no,no,yes,B2
7,F,S,no,no,yes,B2
8,S,S,yes,no,no,A2
9,H,F,no,yes,no,A1
10,H,C,no,no,yes,B2
11,C,C,yes,no,no,A2
12,C,C,yes,yes,yes,B1
13,S,F,no,yes,no,A1
14,H,C,no,yes,no,A1
15,C,C,yes,no,no,A2
16,C,H,no,no,yes,B2
17,F,S,no,yes,no,A1
18,C,H,no,yes,no,A1
19,H,H,yes,no,no,A2
20,H,H,yes,yes,yes,B1
