TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,S,C,no,no,yes,B2
2,S,F,no,no,yes,B2
3,F,F,yes,no,no,A2
4,H,S,no,yes,no,A1
5,H,F,no,no,yes,B2
6,H,S,no,no,yes,B2
7,S,S,yes,no,no,A2
8,C,F,no,yes,no,A1
9,C,H,no,no,yes,B2
10,C,S,no,no,yes,B2
11,S,S,yes,no,no,A2
12,F,H,no,yes,no,A1
13,F,S,no,no,yes,B2
14,F,H,no,no,yes,B2
15,H,H,yes,no,no,A2
16,H,H,yes,yes,yes,B1
17,H,H,yes,yes,yes,B1
18,F,C,no,yes,no,A1
19,C,C,yes,no,no,A2
20,C,C,yes,yes,yes,B1
21,C,C,yes,yes,yes,B1
22,H,S,no,yes,no,A1
23,S,S,yes,no,no,A2
24,S,S,yes,yes,yes,B1
25,S,S,yes,yes,yes,B1
26,S,H,no,no,yes,B2
27,F,C,no,yes,no,A1
28,C,H,no,yes,no,A1
29,H,H,yes,no,no,A2
30,H,H,yes,yes,yes,B1
31,H,H,yes,yes,yes,B1
32,C,F,no,yes,no,A1
33,F,F,yes,no,no,A2
34,F,C,no,no,yes,B2
35,F,S,no,no,yes,B2
36,H,C,no,yes,no,A1
37,C,C,yes,no,no,A2
38,C,S,no,no,yes,B2
39,S,H,no,yes,no,A1
40,H,H,yes,no,no,A2
41,H,H,yes,yes,yes,B1
42,H,H,yes,yes,yes,B1
43,F,C,no,yes,no,A1
44,C,C,yes,no,no,A2
45,C,C,yes,yes,yes,B1
46,C,C,yes,yes,yes,B1
47,H,F,no,yes,no,A1
48,F,F,yes,no,no,A2
49,F,F,yes,yes,yes,B1
50,F,C,no,no,yes,B2
51,F,S,no,no,yes,B2
52,S,S,yes,no,no,A2
53,C,H,no,yes,no,A1
54,C,F,no,no,yes,B2
55,C,H,no,no,yes,B2
56,H,H,yes,no,no,A2
57,S,F,no,yes,no,A1
58,S,C,no,no,yes,B2
59,S,H,no,no,yes,B2
60,H,H,yes,no,no,A2
61,C,S,no,yes,no,A1
62,S,F,no,yes,no,A1
63,S,C,no,no,yes,B2
64,C,C,yes,no,no,A2
65,H,S,no,yes,no,A1
66,H,C,no,no,yes,B2
67,H,F,no,no,yes,B2
68,F,F,yes,no,no,A2
69,F,F,yes,yes,yes,B1
70,F,F,yes,yes,yes,B1
71,S,C,no,yes,no,A1
72,C,C,yes,no,no,A2
73,C,C,yes,yes,yes,B1
74,C,C,yes,yes,yes,B1
75,F,S,no,yes,no,A1
76,S,S,yes,no,no,A2
77,S,S,yes,yes,yes,B1
78,S,S,yes,yes,yes,B1
79,S,F,no,no,yes,B2
80,F,F,yes,no,no,A2
81,H,S,no,yes,no,A1
82,H,F,no,no,yes,B2
83,H,S,no,no,yes,B2
84,S,S,yes,no,no,A2
85,F,H,no,yes,no,A1
86,F,S,no,no,yes,B2
87,F,H,no,no,yes,B2
88,H,H,yes,no,no,A2
89,H,H,yes,yes,yes,B1
90,H,H,yes,yes,yes,B1
91,C,F,no,yes,no,A1
92,F,F,yes,no,no,A2
93,F,F,yes,yes,yes,B1
94,F,F,yes,yes,yes,B1
95,S,H,no,yes,no,A1
96,H,H,yes,no,no,A2
97,H,H,yes,yes,yes,B1
98,H,H,yes,yes,yes,B1
99,C,F,no,yes,no,A1
100,F,F,yes,no,no,A2
101,F,F,yes,yes,yes,B1
102,C,H,no,yes,no,A1
103,H,H,yes,no,no,A2
104,H,C,no,no,yes,B2
105,H,F,no,no,yes,B2
106,S,C,no,yes,no,A1
107,C,C,yes,no,no,A2
108,C,H,no,no,yes,B2
109,C,S,no,no,yes,B2
110,H,F,no,yes,no,A1
111,F,F,yes,no,no,A2
112,F,F,yes,yes,yes,B1
113,F,F,yes,yes,yes,B1
114,H,S,no,yes,no,A1
115,S,S,yes,no,no,A2
116,S,S,yes,yes,yes,B1
117,S,S,yes,yes,yes,B1
118,H,C,no,yes,no,A1
119,C,C,yes,no,no,A2
120,C,C,yes,yes,yes,B1
121,C,C,yes,yes,yes,B1
122,S,F,no,yes,no,A1
123,F,F,yes,no,no,A2
124,F,F,yes,yes,yes,B1
125,F,F,yes,yes,yes,B1
126,S,H,no,yes,no,A1
127,H,H,yes,no,no,A2
128,H,C,no,no,yes,B2
129,H,F,no,no,yes,B2
130,C,S,no,yes,no,A1
131,S,S,yes,no,no,A2
132,S,S,yes,yes,yes,B1
133,S,S,yes,yes,yes,B1
134,F,C,no,yes,no,A1
135,C,C,yes,no,no,A2
136,C,C,yes,yes,yes,B1
137,C,C,yes,yes,yes,B1
138,F,S,no,yes,no,A1
139,S,S,yes,no,no,A2
140,S,S,yes,yes,yes,B1
141,S,S,yes,yes,yes,B1
142,H,C,no,yes,no,A1
143,C,C,yes,no,no,A2
144,C,S,no,no,yes,B2
145,S,S,yes,no,no,A2
146,C,F,no,yes,no,A1
147,C,H,no,no,yes,B2
148,C,F,no,no,yes,B2
149,F,F,yes,no,no,A2
150,S,H,no,yes,no,A1
151,S,F,no,no,yes,B2
152,S,C,no,no,yes,B2
153,C,C,yes,no,no,A2
154,F,H,no,yes,no,A1
155,S,C,no,yes,no,A1
156,S,H,no,no,yes,B2
157,H,H,yes,no,no,A2
158,F,S,no,yes,no,A1
159,F,H,no,no,yes,B2
160,F,C,no,no,yes,B2
