TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,H,H,yes,no,no,A2
2,S,F,no,yes,no,A1
3,S,H,no,no,yes,B2
4,S,C,no,no,yes,B2
5,C,C,yes,no,no,A2
6,H,F,no,yes,no,A1
7,H,S,no,no,yes,B2
8,H,F,no,no,yes,B2
9,F,F,yes,no,no,A2
10,C,H,no,yes,no,A1
11,C,F,no,no,yes,B2
12,C,S,no,no,yes,B2
13,S,S,yes,no,no,A2
14,S,S,yes,yes,yes,B1
15,S,S,yes,yes,yes,B1
16,H,C,no,yes,no,A1
17,C,C,yes,no,no,A2
18,C,C,yes,yes,yes,B1
19,C,C,yes,yes,yes,B1
20,F,S,no,yes,no,A1
21,F,H,no,no,yes,B2
22,F,S,no,no,yes,B2
23,S,S,yes,no,no,A2
24,H,C,no,yes,no,A1
25,F,S,no,yes,no,A1
26,F,H,no,no,yes,B2
27,F,F,yes,yes,yes,B1
28,F,F,yes,yes,yes,B1
29,H,C,no,yes,no,A1
30,C,C,yes,no,no,A2
31,C,C,yes,yes,yes,B1
32,C,C,yes,yes,yes,B1
33,S,H,no,yes,no,A1
34,H,H,yes,no,no,A2
35,H,H,yes,yes,yes,B1
36,H,H,yes,yes,yes,B1
37,S,C,no,yes,no,A1
38,C,C,yes,no,no,A2
39,C,C,yes,yes,yes,B1
40,C,C,yes,yes,yes,B1
41,H,S,no,yes,no,A1
42,S,S,yes,no,no,A2
43,S,S,yes,yes,yes,B1
44,S,S,yes,yes,yes,B1
45,S,F,no,no,yes,B2
46,F,F,yes,no,no,A2
47,H,C,no,yes,no,A1
48,F,S,no,yes,no,A1
49,F,C,no,no,yes,B2
50,C,C,yes,no,no,A2
51,F,H,no,yes,no,A1
52,F,C,no,no,yes,B2
53,F,H,no,no,yes,B2
54,H,H,yes,no,no,A2
55,S,F,no,yes,no,A1
56,S,C,no,no,yes,B2
57,S,F,no,no,yes,B2
58,F,F,yes,no,no,A2
59,C,S,no,yes,no,A1
60,C,H,no,no,yes,B2
61,C,S,no,no,yes,B2
62,S,S,yes,no,no,A2
63,H,F,no,yes,no,A1
64,H,S,no,no,yes,B2
65,H,F,no,no,yes,B2
66,F,F,yes,no,no,A2
67,F,F,yes,yes,yes,B1
68,F,F,yes,yes,yes,B1
69,S,H,no,yes,no,A1
70,H,H,yes,no,no,A2
71,H,C,no,no,yes,B2
72,H,S,no,no,yes,B2
73,S,F,no,yes,no,A1
74,F,F,yes,no,no,A2
75,F,F,yes,yes,yes,B1
76,F,F,yes,yes,yes,B1
77,H,C,no,yes,no,A1
78,C,C,yes,no,no,A2
79,C,C,yes,yes,yes,B1
80,C,C,yes,yes,yes,B1
81,C,S,no,no,yes,B2
82,S,S,yes,no,no,A2
83,S,S,yes,yes,yes,B1
84,S,S,yes,yes,yes,B1
85,H,F,no,yes,no,A1
86,F,F,yes,no,no,A2
87,F,C,no,no,yes,B2
88,F,H,no,no,yes,B2
89,C,S,no,yes,no,A1
90,S,S,yes,no,no,A2
91,S,S,yes,yes,yes,B1
92,S,S,yes,yes,yes,B1
93,H,C,no,yes,no,A1
94,C,C,yes,no,no,A2
95,C,S,no,no,yes,B2
96,C,H,no,no,yes,B2
97,S,F,no,yes,no,A1
98,F,F,yes,no,no,A2
99,F,F,yes,yes,yes,B1
100,F,F,yes,yes,yes,B1
101,C,H,no,yes,no,A1
102,H,H,yes,no,no,A2
103,H,C,no,no,yes,B2
104,H,F,no,no,yes,B2
105,C,S,no,yes,no,A1
106,S,S,yes,no,no,A2
107,S,S,yes,yes,yes,B1
108,S,S,yes,yes,yes,B1
109,C,F,no,yes,no,A1
110,F,F,yes,no,no,A2
111,F,C,no,no,yes,B2
112,F,H,no,no,yes,B2
113,S,C,no,yes,no,A1
114,C,C,yes,no,no,A2
115,C,H,no,no,yes,B2
116,C,F,no,no,yes,B2
117,S,H,no,yes,no,A1
118,H,H,yes,no,no,A2
119,H,H,yes,yes,yes,B1
120,H,H,yes,yes,yes,B1
121,C,F,no,yes,no,A1
122,F,F,yes,no,no,A2
123,F,F,yes,yes,yes,B1
124,F,F,yes,yes,yes,B1
125,C,S,no,yes,no,A1
126,S,S,yes,no,no,A2
127,S,F,no,no,yes,B2
128,C,H,no,yes,no,A1
129,H,H,yes,no,no,A2
130,H,H,yes,yes,yes,B1
131,H,H,yes,yes,yes,B1
132,C,F,no,yes,no,A1
133,F,F,yes,no,no,A2
134,S,H,no,yes,no,A1
135,S,C,no,no,yes,B2
136,S,H,no,no,yes,B2
137,H,H,yes,no,no,A2
138,H,H,yes,yes,yes,B1
139,H,H,yes,yes,yes,B1
140,F,C,no,yes,no,A1
141,C,C,yes,no,no,A2
142,C,S,no,no,yes,B2
143,F,H,no,yes,no,A1
144,H,H,yes,no,no,A2
145,H,S,no,no,yes,B2
146,H,F,no,no,yes,B2
147,F,S,no,yes,no,A1
148,S,S,yes,no,no,A2
149,S,C,no,no,yes,B2
150,S,F,no,no,yes,B2
151,F,H,no,yes,no,A1
152,H,H,yes,no,no,A2
153,H,H,yes,yes,yes,B1
154,H,H,yes,yes,yes,B1
155,F,C,no,yes,no,A1
156,C,C,yes,no,no,A2
157,C,C,yes,yes,yes,B1
158,C,C,yes,yes,yes,B1
159,F,S,no,yes,no,A1
160,S,S,yes,no,no,A2
