TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,S,H,no,no,no,A2
2,H,H,yes,yes,yes,B1
3,H,S,no,no,yes,B2
4,H,F,no,no,yes,B2
5,S,H,no,no,no,A2
6,C,C,yes,yes,no,A1
7,H,S,no,no,yes,B2
8,H,C,no,no,yes,B2
9,C,H,no,no,no,A2
10,C,C,yes,yes,no,A1
11,H,C,no,no,yes,B2
12,H,S,no,no,yes,B2
13,F,H,no,no,no,A2
14,S,S,yes,yes,no,A1
15,H,F,no,no,yes,B2
16,H,S,no,no,yes,B2
17,F,H,no,no,no,A2
18,S,S,yes,yes,no,A1
19,S,S,yes,yes,no,A1
20,H,F,no,no,yes,B2
21,H,H,yes,yes,yes,B1
22,H,H,yes,yes,yes,B1
23,S,S,yes,yes,no,A1
24,F,H,no,no,no,A2
25,H,H,yes,yes,yes,B1
26,H,H,yes,yes,yes,B1
27,S,S,yes,yes,no,A1
28,S,H,no,no,no,A2
29,H,C,no,no,yes,B2
30,H,S,no,no,yes,B2
31,S,S,yes,yes,no,A1
32,F,H,no,no,no,A2
33,H,H,yes,yes,yes,B1
34,H,H,yes,yes,yes,B1
35,C,C,yes,yes,no,A1
36,C,H,no,no,no,A2
37,H,H,yes,yes,yes,B1
38,H,H,yes,yes,yes,B1
39,H,S,no,no,yes,B2
40,F,H,no,no,no,A2
41,C,C,yes,yes,no,A1
42,S,S,yes,yes,no,A1
43,H,S,no,no,yes,B2
44,C,H,no,no,no,A2
45,S,S,yes,yes,no,A1
46,H,S,no,no,yes,B2
47,H,F,no,no,yes,B2
48,C,H,no,no,no,A2
49,C,C,yes,yes,no,A1
50,H,C,no,no,yes,B2
51,H,F,no,no,yes,B2
52,C,H,no,no,no,A2
53,C,C,yes,yes,no,A1
54,H,C,no,no,yes,B2
55,H,C,no,no,yes,B2
56,S,H,no,no,no,A2
57,H,H,yes,yes,yes,B1
58,H,H,yes,yes,yes,B1
59,S,S,yes,yes,no,A1
60,C,H,no,no,no,A2
61,H,H,yes,yes,yes,B1
62,H,H,yes,yes,yes,B1
63,C,C,yes,yes,no,A1
64,S,H,no,no,no,A2
65,H,F,no,no,yes,B2
66,H,F,no,no,yes,B2
67,S,S,yes,yes,no,A1
68,C,H,no,no,no,A2
69,H,H,yes,yes,yes,B1
70,H,H,yes,yes,yes,B1
71,F,F,yes,yes,no,A1
72,F,H,no,no,no,A2
73,H,S,no,no,yes,B2
74,F,F,yes,yes,no,A1
75,S,H,no,no,no,A2
76,H,H,yes,yes,yes,B1
77,H,H,yes,yes,yes,B1
78,C,C,yes,yes,no,A1
79,C,H,no,no,no,A2
80,H,F,no,no,yes,B2
81,H,C,no,no,yes,B2
82,F,F,yes,yes,no,A1
83,C,H,no,no,no,A2
84,H,F,no,no,yes,B2
85,H,C,no,no,yes,B2
86,S,S,yes,yes,no,A1
87,C,H,no,no,no,A2
88,H,H,yes,yes,yes,B1
89,H,H,yes,yes,yes,B1
90,C,C,yes,yes,no,A1
91,C,H,no,no,no,A2
92,H,S,no,no,yes,B2
93,H,C,no,no,yes,B2
94,F,F,yes,yes,no,A1
95,F,H,no,no,no,A2
96,H,H,yes,yes,yes,B1
97,H,H,yes,yes,yes,B1
98,C,C,yes,yes,no,A1
99,F,H,no,no,no,A2
100,S,S,yes,yes,no,A1
101,H,F,no,no,yes,B2
102,H,C,no,no,yes,B2
103,F,H,no,no,no,A2
104,H,H,yes,yes,yes,B1
105,F,F,yes,yes,no,A1
106,F,F,yes,yes,no,A1
107,S,H,no,no,no,A2
108,H,H,yes,yes,yes,B1
109,H,H,yes,yes,yes,B1
110,S,S,yes,yes,no,A1
111,H,S,no,no,yes,B2
112,H,C,no,no,yes,B2
113,S,H,no,no,no,A2
114,H,H,yes,yes,yes,B1
115,H,H,yes,yes,yes,B1
116,F,F,yes,yes,no,A1
117,S,H,no,no,no,A2
118,H,H,yes,yes,yes,B1
119,H,H,yes,yes,yes,B1
120,S,S,yes,yes,no,A1
121,C,H,no,no,no,A2
122,H,C,no,no,yes,B2
123,F,F,yes,yes,no,A1
124,F,H,no,no,no,A2
125,H,C,no,no,yes,B2
126,H,F,no,no,yes,B2
127,F,F,yes,yes,no,A1
128,S,H,no,no,no,A2
129,H,F,no,no,yes,B2
130,H,C,no,no,yes,B2
131,F,F,yes,yes,no,A1
132,C,H,no,no,no,A2
133,H,H,yes,yes,yes,B1
134,H,H,yes,yes,yes,B1
135,F,F,yes,yes,no,A1
136,F,H,no,no,no,A2
137,H,H,yes,yes,yes,B1
138,H,H,yes,yes,yes,B1
139,C,C,yes,yes,no,A1
140,S,H,no,no,no,A2
141,H,F,no,no,yes,B2
142,H,S,no,no,yes,B2
143,F,F,yes,yes,no,A1
144,S,H,no,no,no,A2
145,H,H,yes,yes,yes,B1
146,H,H,yes,yes,yes,B1
147,C,C,yes,yes,no,A1
148,C,H,no,no,no,A2
149,H,H,yes,yes,yes,B1
150,H,H,yes,yes,yes,B1
151,H,S,no,no,yes,B2
152,S,H,no,no,no,A2
153,H,H,yes,yes,yes,B1
154,H,H,yes,yes,yes,B1
155,F,F,yes,yes,no,A1
156,F,H,no,no,no,A2
157,H,H,yes,yes,yes,B1
158,H,H,yes,yes,yes,B1
159,C,C,yes,yes,no,A1
160,F,H,no,no,no,A2
