TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,H,H,yes,yes,yes,B1
2,H,C,no,no,yes,B2
3,H,S,no,no,yes,B2
4,C,C,yes,yes,no,A1
5,F,F,yes,yes,no,A1
6,F,F,yes,yes,no,A1
7,H,C,no,no,yes,B2
8,H,H,yes,yes,yes,B1
9,C,H,no,no,no,A2
10,C,H,no,no,no,A2
11,H,F,no,no,yes,B2
12,S,S,yes,yes,no,A1
13,H,H,yes,yes,yes,B1
14,S,H,no,no,no,A2
15,H,H,yes,yes,yes,B1
16,S,S,yes,yes,no,A1
17,F,H,no,no,no,A2
18,S,H,no,no,no,A2
19,H,F,no,no,yes,B2
20,H,H,yes,yes,yes,B1
