TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,H,H,yes,no,no,A2
2,H,F,no,no,yes,B2
3,H,H,yes,yes,yes,B1
4,H,H,yes,yes,yes,B1
5,F,C,no,yes,no,A1
6,F,S,no,no,yes,B2
7,S,S,yes,no,no,A2
8,S,S,yes,yes,yes,B1
9,S,C,no,no,yes,B2
10,H,F,no,yes,no,A1
11,S,C,no,yes,no,A1
12,C,C,yes,no,no,A2
13,C,C,yes,yes,yes,B1
14,C,H,no,no,yes,B2
15,C,F,no,no,yes,B2
16,F,F,yes,no,no,A2
17,F,F,yes,yes,yes,B1
18,C,H,no,yes,no,A1
19,F,S,no,yes,no,A1
20,S,S,yes,no,no,A2
