TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,H,C,no,no,yes,B2
2,H,F,no,no,yes,B2
3,C,H,no,no,no,A2
4,C,C,yes,yes,no,A1
5,H,S,no,no,yes,B2
6,H,S,no,no,yes,B2
7,S,H,no,no,no,A2
8,F,F,yes,yes,no,A1
9,H,C,no,no,yes,B2
10,H,F,no,no,yes,B2
11,F,H,no,no,no,A2
12,C,C,yes,yes,no,A1
13,H,S,no,no,yes,B2
14,H,S,no,no,yes,B2
15,S,H,no,no,no,A2
16,H,H,yes,yes,yes,B1
17,H,H,yes,yes,yes,B1
18,S,S,yes,yes,no,A1
19,C,H,no,no,no,A2
20,H,H,yes,yes,yes,B1
21,H,H,yes,yes,yes,B1
22,C,C,yes,yes,no,A1
23,S,H,no,no,no,A2
24,H,H,yes,yes,yes,B1
25,H,H,yes,yes,yes,B1
26,H,C,no,no,yes,B2
27,F,F,yes,yes,no,A1
28,S,S,yes,yes,no,A1
29,F,H,no,no,no,A2
30,H,H,yes,yes,yes,B1
31,H,H,yes,yes,yes,B1
32,S,S,yes,yes,no,A1
33,C,H,no,no,no,A2
34,H,F,no,no,yes,B2
35,H,S,no,no,yes,B2
36,C,C,yes,yes,no,A1
37,C,H,no,no,no,A2
38,H,S,no,no,yes,B2
39,F,F,yes,yes,no,A1
40,S,H,no,no,no,A2
41,H,H,yes,yes,yes,B1
42,H,H,yes,yes,yes,B1
43,C,C,yes,yes,no,A1
44,F,H,no,no,no,A2
45,H,H,yes,yes,yes,B1
46,H,H,yes,yes,yes,B1
47,S,S,yes,yes,no,A1
48,C,H,no,no,no,A2
49,H,H,yes,yes,yes,B1
50,H,F,no,no,yes,B2
51,H,C,no,no,yes,B2
52,F,H,no,no,no,A2
53,C,C,yes,yes,no,A1
54,H,S,no,no,yes,B2
55,H,S,no,no,yes,B2
56,C,H,no,no,no,A2
57,C,C,yes,yes,no,A1
58,H,F,no,no,yes,B2
59,H,C,no,no,yes,B2
60,F,H,no,no,no,A2
61,S,S,yes,yes,no,A1
62,F,F,yes,yes,no,A1
63,H,C,no,no,yes,B2
64,C,H,no,no,no,A2
65,F,F,yes,yes,no,A1
66,H,C,no,no,yes,B2
67,H,F,no,no,yes,B2
68,S,H,no,no,no,A2
69,H,H,yes,yes,yes,B1
70,H,H,yes,yes,yes,B1
71,F,F,yes,yes,no,A1
72,S,H,no,no,no,A2
73,H,H,yes,yes,yes,B1
74,H,H,yes,yes,yes,B1
75,S,S,yes,yes,no,A1
76,F,H,no,no,no,A2
77,H,H,yes,yes,yes,B1
78,H,H,yes,yes,yes,B1
79,H,S,no,no,yes,B2
80,C,H,no,no,no,A2
81,S,S,yes,yes,no,A1
82,H,S,no,no,yes,B2
83,H,S,no,no,yes,B2
84,F,H,no,no,no,A2
85,S,S,yes,yes,no,A1
86,H,F,no,no,yes,B2
87,H,C,no,no,yes,B2
88,S,H,no,no,no,A2
89,H,H,yes,yes,yes,B1
90,H,H,yes,yes,yes,B1
91,F,F,yes,yes,no,A1
92,S,H,no,no,no,A2
93,H,H,yes,yes,yes,B1
94,H,H,yes,yes,yes,B1
95,C,C,yes,yes,no,A1
96,C,H,no,no,no,A2
97,H,H,yes,yes,yes,B1
98,H,H,yes,yes,yes,B1
99,F,F,yes,yes,no,A1
100,S,H,no,no,no,A2
101,H,H,yes,yes,yes,B1
102,C,C,yes,yes,no,A1
103,C,H,no,no,no,A2
104,H,C,no,no,yes,B2
105,H,F,no,no,yes,B2
106,F,F,yes,yes,no,A1
107,S,H,no,no,no,A2
108,H,F,no,no,yes,B2
109,H,C,no,no,yes,B2
110,C,C,yes,yes,no,A1
111,F,H,no,no,no,A2
112,H,H,yes,yes,yes,B1
113,H,H,yes,yes,yes,B1
114,S,S,yes,yes,no,A1
115,S,H,no,no,no,A2
116,H,H,yes,yes,yes,B1
117,H,H,yes,yes,yes,B1
118,S,S,yes,yes,no,A1
119,C,H,no,no,no,A2
120,H,H,yes,yes,yes,B1
121,H,H,yes,yes,yes,B1
122,F,F,yes,yes,no,A1
123,C,H,no,no,no,A2
124,H,H,yes,yes,yes,B1
125,H,H,yes,yes,yes,B1
126,C,C,yes,yes,no,A1
127,F,H,no,no,no,A2
128,H,F,no,no,yes,B2
129,H,S,no,no,yes,B2
130,F,F,yes,yes,no,A1
131,S,H,no,no,no,A2
132,H,H,yes,yes,yes,B1
133,H,H,yes,yes,yes,B1
134,S,S,yes,yes,no,A1
135,C,H,no,no,no,A2
136,H,H,yes,yes,yes,B1
137,H,H,yes,yes,yes,B1
138,F,F,yes,yes,no,A1
139,S,H,no,no,no,A2
140,H,H,yes,yes,yes,B1
141,H,H,yes,yes,yes,B1
142,C,C,yes,yes,no,A1
143,F,H,no,no,no,A2
144,H,F,no,no,yes,B2
145,F,H,no,no,no,A2
146,S,S,yes,yes,no,A1
147,H,C,no,no,yes,B2
148,H,F,no,no,yes,B2
149,C,H,no,no,no,A2
150,S,S,yes,yes,no,A1
151,H,S,no,no,yes,B2
152,H,C,no,no,yes,B2
153,F,H,no,no,no,A2
154,F,F,yes,yes,no,A1
155,C,C,yes,yes,no,A1
156,H,C,no,no,yes,B2
157,F,H,no,no,no,A2
158,S,S,yes,yes,no,A1
159,H,F,no,no,yes,B2
160,H,C,no,no,yes,B2
